District,Price,m² (Net),Number of rooms,Building Age,Floor location,Heating,Number of bathrooms,Balcony,Furnished,Available for Loan,Fiber Internet,Kitchen (Built-in),Security,Thermal Insulation,Generator,Indoors_Parking,Doorman,Playground,Sound insulation,Shopping_Mall,Mosque,Pharmacy,Amusement center,Hospital,High school,Market,Police station,The health clinic,District Market,Gym,University,Primary School-Secondary School,Town center,Highway,Shared_Taxi_Dolmus,E-5,Airport,Metro,Metrobus,TEM,Nature,Mezzanine,Accessibility_Score,Is_Handicap_Accessible
Eyüpsultan,265000,80.0,3,2,1,1,1,0,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
Bahçelievler,319000,105.0,4,26-30 between,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0
Büyükçekmece,335000,175.0,4,11-15 between,2,1,2,1,No,Yes,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,2,1
Bahçelievler,450000,90.0,3,0,1,1,1,1,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0
Ataşehir,500000,120.0,4,5-10 between,0,1,1,0,No,No,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1
Bağcılar,200000,105.0,3,5-10 between,0,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnavutköy,270000,100.0,3,1,1,1,1,1,No,Yes,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,3,1
Güngören,512000,100.0,3,5-10 between,0,1,3,1,No,Yes,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kağıthane,300000,55.0,2,0,2,1,1,0,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Ümraniye,450000,100.0,4,0,3,1,2,1,No,Yes,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0
Üsküdar,420000,75.0,3,16-20 between,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0
Küçükçekmece,375000,105.0,4,4,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beylikdüzü,649000,125.0,3,0,3,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sultangazi,175000,80.0,3,16-20 between,1,1,1,1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Güngören,420000,120.0,4,21-25 between,1,1,1,1,No,Yes,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
Kadıköy,1050000,130.0,4,21-25 between,2,1,1,1,No,Yes,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0
Tuzla,305000,165.0,5,3,0,1,2,1,No,Yes,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1
Büyükçekmece,350000,90.0,3,0,0,1,1,0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnavutköy,595000,200.0,6,0,0,1,2,1,Unknown,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kartal,450000,110.0,4,0,2,1,1,1,No,Yes,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0
Çekmeköy,360000,75.0,3,0,1,1,1,1,No,Yes,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0
Sultangazi,490000,200.0,6,0,2,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Şile,230000,75.0,3,21-25 between,0,1,1,0,No,No,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Bakırköy,4000000,200.0,5,0,1,1,2,1,No,Yes,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0
Kartal,316000,70.0,3,0,0,1,1,0,Yes,Yes,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1
Sultanbeyli,155000,120.0,3,11-15 between,0,1,1,1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adalar,588000,75.0,3,26-30 between,1,1,1,1,No,Yes,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
Kartal,395000,85.0,3,5-10 between,2,1,1,1,No,Yes,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Esenler,295000,90.0,3,31  and more than,1,1,1,1,No,No,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
Avcılar,430000,144.0,6,0,0,1,2,1,No,No,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0
Beylikdüzü,225000,125.0,4,0,1,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Güngören,530000,90.0,4,26-30 between,1,1,1,1,No,No,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0
Çatalca,365000,110.0,4,5-10 between,1,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
Sarıyer,1650000,130.0,3,4,2,1,2,1,No,Yes,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,3,1
Sarıyer,2300000,195.0,4,16-20 between,2,1,2,1,Unknown,Unknown,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Küçükçekmece,280000,94.0,3,5-10 between,2,1,1,1,No,Yes,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
Sancaktepe,305000,125.0,5,3,1,1,2,0,Unknown,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maltepe,610000,120.0,4,2,1,1,1,1,No,Yes,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0
Sarıyer,400000,60.0,3,21-25 between,0,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Küçükçekmece,380000,155.0,4,5-10 between,0,1,2,1,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1
Fatih,650000,120.0,4,0,0,1,2,0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Küçükçekmece,1350000,135.0,4,5-10 between,2,1,2,1,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
Bağcılar,250000,90.0,3,26-30 between,2,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Büyükçekmece,550000,160.0,4,4,1,1,3,1,No,Yes,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0
Eyüpsultan,190000,45.0,2,4,0,1,1,0,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0
Esenyurt,485000,100.0,4,3,1,1,2,0,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0
Çekmeköy,460000,160.0,5,5-10 between,2,1,2,1,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Esenler,215000,75.0,3,3,0,1,1,0,No,Yes,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
Sultanbeyli,180000,95.0,3,3,0,1,1,0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ataşehir,390000,110.0,5,5-10 between,0,1,2,0,Unknown,Yes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Şişli,260000,50.0,2,26-30 between,1,1,1,1,No,Yes,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1
Sultangazi,185000,70.0,3,11-15 between,0,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Arnavutköy,245000,75.0,3,0,1,1,1,1,No,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarıyer,2650000,250.0,6,5-10 between,3,1,2,1,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaziosmanpaşa,340000,180.0,5,0,0,1,2,0,No,Yes,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Tuzla,275000,72.0,3,1,2,1,1,1,No,Yes,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0
Üsküdar,360000,80.0,3,31  and more than,2,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Büyükçekmece,380000,85.0,3,5-10 between,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esenyurt,227500,95.0,3,1,1,1,1,1,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Esenyurt,355000,105.0,3,0,3,1,2,1,Unknown,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Küçükçekmece,205000,75.0,3,1,0,1,1,0,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1
Maltepe,510000,100.0,4,0,1,1,2,1,No,Yes,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,1
Sarıyer,7000000,250.0,5,5-10 between,3,1,4,0,No,Yes,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0
Bağcılar,430000,85.0,3,0,3,1,2,1,No,Unknown,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Eyüpsultan,345000,80.0,3,0,1,1,1,1,No,Yes,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0
Şişli,435000,70.0,3,5-10 between,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sultanbeyli,455000,100.0,3,2,0,1,2,1,No,Yes,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,3,1
Beylikdüzü,1130000,118.0,4,0,2,1,2,1,No,Yes,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
Fatih,200000,85.0,3,31  and more than,0,0,1,0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnavutköy,310000,135.0,4,5-10 between,2,1,2,1,No,Yes,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,3,1
Beykoz,550000,100.0,4,26-30 between,0,1,1,1,No,Yes,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0
Silivri,1650000,180.0,8,21-25 between,1,1,3,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Ataşehir,1625000,150.0,4,5-10 between,3,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Esenler,265000,75.0,3,5-10 between,0,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0
Çekmeköy,295000,95.0,3,16-20 between,1,1,1,1,No,Yes,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0
Kartal,630000,230.0,9,5-10 between,1,1,2,1,No,Yes,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
Esenyurt,345000,90.0,3,5-10 between,3,1,2,0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esenyurt,125000,70.0,2,0,0,1,1,1,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,3,1
Beylikdüzü,469000,110.0,3,0,0,1,2,1,No,Yes,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beylikdüzü,560000,110.0,3,0,1,1,2,1,No,Yes,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,2,1
Şişli,525000,67.0,3,4,1,1,1,0,No,Yes,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0
Başakşehir,350000,50.0,2,5-10 between,2,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Eyüpsultan,400000,130.0,4,4,0,1,2,0,No,Yes,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,3,1
Bahçelievler,216000,80.0,3,16-20 between,1,1,2,1,No,No,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Eyüpsultan,385000,120.0,4,4,2,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Pendik,410000,110.0,4,11-15 between,0,1,1,1,No,Yes,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0
Beşiktaş,685000,80.0,3,31  and more than,0,1,1,1,No,No,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1
Zeytinburnu,290000,95.0,3,16-20 between,1,1,1,1,No,No,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0
Zeytinburnu,600000,74.0,2,5-10 between,2,1,1,1,No,Yes,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0
Güngören,635000,180.0,5,4,2,1,1,1,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
Beşiktaş,900000,90.0,3,26-30 between,2,1,1,1,Yes,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Beyoğlu,350000,100.0,3,0,0,1,1,0,No,Yes,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1
Kağıthane,510000,90.0,4,0,0,1,1,1,No,Yes,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1
Beykoz,480000,90.0,3,31  and more than,1,1,1,1,No,No,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0
Esenyurt,246092,115.0,4,5-10 between,2,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kartal,570000,105.0,4,5-10 between,2,1,2,1,No,Yes,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0
Kadıköy,995000,85.0,3,4,2,1,1,1,No,Yes,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
Sancaktepe,435000,190.0,6,5-10 between,2,1,2,1,No,Yes,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Kağıthane,390000,85.0,3,0,2,1,1,1,No,Yes,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Silivri,630000,299.0,7,5-10 between,2,1,3,1,No,Yes,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0
Kadıköy,4100000,155.0,5,0,3,1,2,1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Sultangazi,390000,200.0,5,5-10 between,2,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
Bağcılar,139000,90.0,4,21-25 between,2,1,1,1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beşiktaş,3800000,300.0,6,26-30 between,2,1,3,1,No,Yes,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Arnavutköy,255000,110.0,4,0,3,1,2,1,No,Yes,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1
Kartal,640000,150.0,6,0,2,1,1,1,No,Yes,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,2,1
Beşiktaş,1050000,120.0,4,31  and more than,2,1,1,0,No,Yes,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0
Sarıyer,2590000,106.0,3,0,2,1,2,1,No,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0
Silivri,545000,185.0,4,2,0,1,2,1,No,Yes,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
Başakşehir,430000,102.0,3,5-10 between,0,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beyoğlu,245000,70.0,3,5-10 between,1,1,1,1,Yes,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beşiktaş,1050000,120.0,4,31  and more than,1,1,1,1,No,Yes,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,1
Sultanbeyli,257000,90.0,3,2,1,1,1,0,No,Yes,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0
Kartal,635000,165.0,5,0,2,1,2,1,No,Yes,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,3,1
Esenyurt,209000,95.0,3,0,1,1,1,1,No,Yes,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
Bayrampaşa,229000,88.0,3,5-10 between,0,1,1,1,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0
Bahçelievler,350000,100.0,3,16-20 between,0,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beylikdüzü,115000,75.0,2,0,2,1,1,1,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
Güngören,495000,150.0,5,21-25 between,2,1,2,1,No,No,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0
Kağıthane,650000,80.0,3,1,2,1,1,0,No,Yes,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,2,1
Ümraniye,650000,143.0,3,5-10 between,3,1,1,1,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1
Bağcılar,340000,105.0,4,5-10 between,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kağıthane,364000,70.0,3,0,1,1,1,1,No,Yes,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
Bayrampaşa,365000,80.0,3,5-10 between,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Kartal,550000,68.0,3,3,2,1,2,1,No,Yes,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
Sultangazi,465000,170.0,6,0,0,1,2,1,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ümraniye,275000,80.0,3,0,0,1,1,0,No,Yes,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,3,1
Kadıköy,525000,50.0,2,0,0,1,1,0,No,Yes,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Başakşehir,335000,110.0,3,0,1,1,1,1,No,Yes,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
Esenyurt,455000,115.0,3,5-10 between,2,1,2,1,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,3,1
Bahçelievler,450000,130.0,4,5-10 between,0,1,3,1,No,Yes,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
Silivri,229000,90.0,3,0,1,1,1,1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silivri,375000,95.0,3,0,1,1,2,1,No,Yes,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0
Sarıyer,1500000,70.0,3,1,2,1,2,1,No,Yes,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0
